;31/12/2020;30/06/2021;31/12/2021;Evol en (Val);Evol en (%)
Crédits Directs;1 151 998 023 100;2 070 612 152 694;2 301 518 745 927;230 906 593 233;0,100327922
Engagements hors bilan;425 453 065 717;1 006 378 235 859;1 095 286 108 271;88 907 872 412;0,081173195
Portefeuille Douteux Crédits Directs;29 684 178 296;59 276 930 446;48 643 535 318;-10 633 395 128;-0,218598321
Portefeuille Douteux Eng. hors bilan;1 113 392 834;3 091 936 577;2 059 856 078;-1 032 080 499;-0,501044957
Créances restructurées;3 395 519 370;19 869 257 468;29 015 838 820;9 146 581 352;0,315227191
Provisions;311 291 167;9 042 172 559;15 520 300 171;6 478 127 612;0,417397057
Portefeuille global;1 577 451 088 817;3 076 990 388 553;3 396 804 854 198;319 814 465 645;0,094151557
CES;33 079 697 666;79 146 187 914;77 659 374 138;-1 486 813 776;-0,019145323
Créances en souffrance directes / Crédits directs;0,028715065;0,03822357;0,033742664;;
Créances en souffrance / portefeuille global;0,020970348;0,025721948;0,022862477;;
